incoming,your_reply
Can you tell me here? Or tomorrow? Which is easier,What bro? I didn't get what you mean
Solution?,I have modified that port number to 3000 from 5173 and it is running and If it also not works sometimes means I may run the command(npm run dev)  on cmd
So 5173 is the default port number they have given? And you made it 3000?,Yeah correct
"Hmm ok. I needed to know, network concepts are important for me. 👍🏻",OK bro.
My brain worked for a month correctly.,Oh really ok
"I was at home for almost 2 years doing nothing, now suddenly into learning so my brain got tired 😫 i guess. 😅",Ol
I didn't even concentrate this much in degree or anywhere else.,Haha OK ok
So I gave today a rest.,OK
On the bright side I went for a month straight ☺️,Haha really...ok
Actually it all started when I got a startup idea. Imagining all those workloads my brain started going off 😅,Ohh really nice bro...
Slowly.,What is the idea about?
Technology is updating so I want to provide services to them.,👏nice
Well I'm gonna need some developers....... 🥳,Got that one
"Not that, UI/UX, applications like that.","OK,  then if you are OK, I will come in after I am fully thorough"
I will try to complete learning creating OS by this sem. From next semester I will try to work on that.,"After some good grip in some technologies, I said I will definitely come in"
Sure.,OK bro then I will be coming in
I don't know who all are need. For now I think application and UI/UX developers and OS developers are needed. Need to know who else is needed.,"Yeah ya,  first let's be ready with the plan idea and all, then we will jump in"
Alright.,"Definitely bro,  I will not"
"I don't know what your learning process is. But my learning process, learning along with practicals. Like to learn Linux I don't go through tutorials or books much, I like to implement myself and learn. I'm more of a practical guy. So it helps me a lot. So if I were supposed to develop some apps for OS using C. I learn the basics of C and try to develop small apps. Like that I like to learn along with doing. I don't prefer to learn all and do.",So I am going with firebase
"What I'm trying to say is, if you are okay with this plan you can proceed the same way. This plan has worked for me even at work. So it might be forced you. But if you don't think it's good enough you can stick to your methods.",Yeah that was right and even I am also doing that way only
"Oh, wow.","No bro,  not like that"
Okay.,Sure bro
Good 👍🏻,😍
Haven't sent any today.,OK bro I will
This,OK bro
We did both programs today.,Yes
There might be indentation errors in the 2nd program. Be careful of it.,Which one?
First 2,This is done already
Not this. Infix to postfix. Evaluate postfix.,We have executed those
"I have sent you, check.",Ok
Temp++ is the correct one.,"Yeah, I will always do this thing and I have rarely used temp +1 or i =i+1 like that"
Okay.,OK bro
"Testing we can do, or get someone outside to test it.",Yeah naybe
"6&7 also can be managed, although it will be overloaded. But we can manage as there is still time.  Documentation takes more time. I have worked very little in documentation writing.  Managing a project, we can do it normally how we talk.","Yeah 6 and 7 can be done,  managing we can"
"We can, given that we have 2 years till college completes.","Yeah yeah, I think u can handle"
I hope 😇,OK OK bro understood
"Ask me tomorrow about documentation and testing, i will try to explain what I did in it. It's simple yet no problem in knowing. I think I never talked about these things.","Is there any organization,  who have implemented this idea in the market"
"Might be, we are not definitely first. But given the tech is evolving, people are buying smarter things there is always a great opportunity.",Yeah yes yes.
That's a thing to think about later. Let's worry about the learning stuff.,Yes bro ok
Pitch me anything you get anytime.,Sure bro I will do
Sure,Ok
In class ma'am have only given properties. Not any program to do.,CSS properties bro
"Oh okay, so the main content of the page can be anything?",Yeah anything on our own
"And apply the properties ma'am has thought in the class, that's all?",Yes yes that's it
Okay then.,OK bro
Look at the timetable 😭,100000%
Don't know who asked 😭,😔😔
Timings?,11 to 1
I don't wanna sit alone,"Like 10:45 u come to metro station,  I will meet you there bro and we will go jointly to college"
Ok sure.,OK
"Hi bro, where did you work from internship? and how you got it?","I worked in a company called Grassroots private solutions in Domlur . I was randomly applying on LinkedIn for internships,  and I cold mailed the hiring person regarding my project and my grip over programming languages and interview got scheduled and that process went on..."
"oh great. So, you worked on programming languages there?",Yeah yeah some basic react and java like that
or any acknowledgment?,"Still not yet , I messaged the team,  they said that there is some problem going with the company. But we will provide as soon as possible like 4 days back"
Oh.,Yeah
need money 😅 so getting info to know about it,You wanna do internship now
"If I get, I would be happy! But I don't have any skills 🥲","Oh bro,  you do have,  ur thinking while solving any problem is in next level"
"Thanks bro, but what's use of any skills if it can't generate any money.",And startup requires more of development skills rather than DSA
"Oh, I didn't know about it.",OK bro
Hmm. LinkedIn is full of scamming jobs,Yeah some of those
most bro. When I search part-time or internships it will only display copy paste jobs which is obviously a scam.,Yeah yeah even I experienced it.
"Yeah, will check that.",OK bro
Yes. I'm in mantri metro,OK bro
Are you in college?,"No, I will be entering majestic metro in 5-10 mins"
Okay. In 8 mins i will be at the national college metro,OK bro... Ping me after getting off from metro
I have,U r in national college Metro Station now
Yes,OK bro I am taking metro now
8 mins then.,Yes
"I'm outside the metro station, near the parking lot.",Coming bro
"#TCS #HackQuest 𝐒𝐞𝐚𝐬𝐨𝐧 𝟗 𝐫𝐞𝐠𝐢𝐬𝐭𝐫𝐚𝐭𝐢𝐨𝐧 is up !!!  The contest is open for the 𝟐𝟎𝟐𝟓 𝐛𝐚𝐭𝐜𝐡 𝐨𝐟 𝐁𝐄/𝐁𝐂𝐀/𝐌𝐂𝐀/𝐁.𝐒𝐜/𝐌.𝐒𝐜/𝐌.𝐓𝐞𝐜𝐡 from all disciplines .The ultimate Cyber arena for students to showcase their 𝐂𝐲𝐛𝐞𝐫𝐬𝐞𝐜𝐮𝐫𝐢𝐭𝐲 brilliance.  𝐑𝐞𝐠𝐢𝐬𝐭𝐞𝐫 𝐧𝐨𝐰 !  https://tcshackquest.tcsapps.com   Registration end date: 23rd January 2025, Thursday Round 1 date: 25th January 2025, Saturday (10 AM – 4 PM IST)  For any queries, write to: careers@tcs.com  Winners stand to win prizes worth up to 𝐈𝐍𝐑 𝟓 𝐥𝐚𝐤𝐡𝐬, an 𝐢𝐧𝐭𝐞𝐫𝐯𝐢𝐞𝐰 𝐨𝐩𝐩𝐨𝐫𝐭𝐮𝐧𝐢𝐭𝐲 with 𝐓𝐂𝐒 𝐂𝐲𝐛𝐞𝐫𝐬𝐞𝐜𝐮𝐫𝐢𝐭𝐲 Centre of Excellence, certifications of merit and exclusive merch, and not to forget, ultimate bragging rights! Ready to battle?   𝐍𝐨𝐭𝐞: A valid 𝐓𝐂𝐒 𝐍𝐞𝐱𝐭𝐒𝐭𝐞𝐩 𝐫𝐞𝐟𝐞𝐫𝐞𝐧𝐜𝐞 𝐈𝐃 (𝐂𝐓/𝐃𝐓 𝐧𝐮𝐦𝐛𝐞𝐫) is 𝐦𝐚𝐧𝐝𝐚𝐭𝐨𝐫𝐲 to register for TCS HackQuest Season 9. If you don’t have a valid TCS NextStep reference ID (CT/DT number), please register on TCS NextStep portal in the ‘𝐈𝐓’ section (𝐍𝐨𝐭 𝐁𝐏𝐒)  Request you to Share above 𝐜𝐨𝐥𝐥𝐚𝐭𝐞𝐫𝐚𝐥 𝐰𝐢𝐭𝐡 𝐥𝐢𝐧𝐤 your 𝐒𝐭𝐮𝐝𝐞𝐧𝐭𝐬 & other 𝐍𝐞𝐭𝐰𝐨𝐫𝐤",Will you participate bro?
Then who might take the class?,Classes are there except web
Will c ma'am take early?,Don't know bro I will leave the class after 2
Alright 👍🏻,"I got to know,  but I am not ready for that"
Running late?,Coz just now I left from malur
Okk.,Got up late
Room number?,I think the same one
Number?,Yes yes
Okay 👍🏻.,OK bro
I woke up now,Oh bro OK
What happened in class?,"OS some theory Maths 2nd module completed, started 3rd module and she asked the concepts that we have doubts so she will clear that tomorrow."
Maths ma'am will clear doubt tomorrow?,"DS recursion topic started. Web some prompt, alert kind of conceprs"
😳 wonderful!,Haha
I thought they might give next month end.,Even my reaction was also same
Need to prepare for maths then.,Yeah even all the subjects
<Media omitted>,In group now they have put some Message regarding time table and deleted
Why again they are changing?,Haha we can manage bro don't worry
So nothing important today?,Ha that's it bro
Okk.,OK bro
Who is seema nagaraj?,Placement coordinator
We are supposed to bigger and dynamic programs!,Yeah she sent some msg
with the supercomputer that we have been provided.,😂🤣😂🤣
C?,Yes bro
DS,OK OK bro
They were also?,🤣
Only way to escape from him.,Haha yes correct and I escaped from that conversation luckily
He consumes everything around him! 😁,Yes
Yes!,Yeah
Ourselves?,Not to the point bro
How was it for your brother?,"They are not giving like proper notes,  we need to make using the pdfs they have sent"
Oh!,I think the assignment questions are enough I think
But i got it now.,"Definitely we need to make OS notes,  maths we can manage,  and the rest"
Only math is given right?,He makes and gets notes from some coaching institutes like that
Got it.,"Yes, I think OS sir sent"
Alright!,DS ma'am asked us to write assignment or to do a project based on DSA
Oh! I'm excited 😆,If we do some beginner friendly project that would be fine I think
We can! Right?,Yes on DSA topics not the web dev
We can choose our own topic?,Yeah yeah
Got it!,She asked to meet her if we are doing project
"OS is a theory subject, I'm guessing it won't be.","Don't know bro , let's make simple notes and we can elaborate while tests"
Sure 👍🏻,OK
Which one?,Dsa project
I will,Even I will search too....
Let's talk about it tomorrow........,Sure sure I was thinking about that
Alright then 👍🏻,OK bro
"tell me if you got any topics for DSA? I want to know the limit that we need to have in the projects. All I am getting from google or ChatGPT is either small like calculator or big like networking projects. So, I'm confused a bit.",I got some projects using circular queue based like performing enque dequeue operations
I'm just asking!,"Like a bank queue system or in a library if we want we can add , delete and display the information"
That sounds great!,Yeah but we can go little bit deeper if we dive in
Right!,These are like basic I think  bro...let's think even better ideas
let's see.,Yeah yeah
Is it individual or group? ma'am told anything?,No she didn't say about that
Oh God! they get everything faster!,OK bro sure For this project what will be the concept used?
means under DSA concepts only we can explore networking side. Even something like editor can be made by C using queues concepts.,Yeah they said in mentor meeting
It also includes memory management.,Yeah yeah
Sure we can.,OK let's get even more ideas and we finalize one
Alright.,OK bro...
"We can make a cloud, to drop a file and access it from the server.",How's that
Or we could make an editor (no networking concepts),OK
"Instead of the web programming, we are doing in C that's all.",OK OK tomorrow give me a idea of that...
😆,OK do you have an idea of which dsa topic would be used
We need to use queues to store the file maybe in local memories and then send it to the server.  Need to research.,OK bro
Ma'am done? I'm not aware of it.,No no not yet
Ok let's see.,OK bro
Probably!,OK bro
Today which concepts did the DSA ma'am did?,Recursion started
Okay 👍🏻,Just some fibonacci and factorial numbers recurrence relation and tracing have been done
That seems simple then. Got it 👍🏻,ok bro
"It's just the beginning, we still have a long way to go.",Nice bro. Started writing code?
Started writing basic codes to see how it's working. Not into the project code yet.,OK bro
induction ended?,I didn't go to college today
Oh why?,I got up really late
so did something? today?,Just saw how the code is working for the project
which code? chat application?,Yes
"See what all required to develop the application, and work on that.",Yeah yeah even I wrote the prerequisites needed and made a blue print on how it works and needed things and
good,Yeah sat and wrote that some sample pseudo code
I'm planning to write a documentation on the project.,"OK bro,  I came to my brother's room now to take laptop, I will send you within 15-20 mins"
Alright!,👍
on Sunday?,Need to see bro
"You travel daily, right? are timings different daily?",Sunday some trains will be cancelled that's why
Oh alright!,Yeah
My family member needs to travel.,OK bro I will check
Thank You!,<Media omitted>
Got it 👍🏻,OK bro
In the docx file,Yeah
It looks so stupid honestly,Not because of their msgs
Are we coming to college to attend functions? 🤪,Because of those technical talk
They are forcing us but I don't think they will actually do that if we don't go. They know we won't take risks in that.,Oh shut
Well I have to now.,What to do bro.... Why they are being this strict I don't know
Can't work on the project now.,Yeah even I was planning to focus on that
Can we leave during lunch 😆,9:30 to 4
They know how we think 😔,Yes yes
At which time tomorrow you will come?,Like 9:20 I will be there in metro station
I'm not sure If i could sit through from 9:30 to 4:00 😔,Yes bro because attendance counts for every session itseems
Yeah got that,There will be some breaks in between... So
I will try then,OK
I know but till 4:00 🥶 from morning,At what time you will come?
I will try before 9:20,But with their strict rules what we can do
We should try this one first and if we have time we can look out for more features.,Hey bro sorry for ghosting you. I was busy on a call.
Ghosting 😆 I'm hearing it for a first time Means ignoring?,"OK bro, please suggest some resources for that"
It's alright no worries!,It's a genz term like ignoring someone for some time or
https://www.geeksforgeeks.org/basics-file-handling-c/,Ok
I too am a genz but don't know any of the genz terms. Maybe because I don't use instagram so don't know about them 🥶,Yeah this will be great to start with...
More features also include encryption and decryption. Are you aware of it?,"Yes yes.....shall we incorporate web concepts for UI and some basic features and we will write the working function like storing,  sending, retrieving using  DSA in C language"
"I'm not sure about whether we can do that. Never thought of it, so never researched it. Are you sure that's possible?",Maybe bro....even I know some simple words that's it
I haven't seen anyone using the web to develop UI for c applications. C has its own things(I'm not aware of it completely) that I have seen developers using.,Maybe.... Shall we discuss with ma'am about this or
They wouldn't know about it.,Can we implement those features using C? I am not aware of that
I believe it's not possible. Those technologies run on the browser and we are running C on the local machine.,Oh OK bro
If it was possible then people would have studied both.,Yeah
Let me check once with chatgpt.,Ok
We can use HTML and CSS as UI while c works as a backend.,Yeah bro even I got the same
"It's not feasible for us, it will become more of a web project then.",Yeah C and Java always works on the back-end. Only Javascript works on  both.
If you are keen on using web technologies then we can. I would say you too focus on the UI.,"Yeah yes right,  to implement the functionalities like what if this condition don't work, do the other one or some validation."
Right.,Yeah like transcripting right?
We are storing messages in a file. That shouldn't read by any other user by accessing the location of the file. So when we are saving in a file we need to encrypt the message so that no one can understand it. And while receiving it on the user end it needs to be decrypted.,Like that or?
"Sure. I will, it comes under networking.",Sure bro then I will take that job
"All I'm saying is, I'm giving the right to decide which way, i will be okay with it.",Yeah now I got the idea..... Basically security thing..... I got the idea
Yeah.,Bro I will be taking care of UI bro
It will be better if we divide our jobs like that.,Yeah yeah and later on we can explain each other how we did this and It will make us strong in those concepts also
Sure.,Yeah ✌
Probably like this.,Sure bro... Let's do thar
Okay that's all from me.,OK bro.
"I need time, probably this week, i will try on Sunday and show it next week.",Like showing the idea to ma'am
Try to learn how to implement a UI with C.,Yeah I will search on that.... I will come up with the idea tomorrow
Alright then. Anytime else we need to talk about?,"Sorry bro I didn't got you.,"
"Our morning calls used end like ""anything else to discuss"" in the work.","Oh OK bro got you now. I think that's it for now. We will figure out with the idea,  if we are stuck anywhere we will discuss on that"
Alright then.,Yeah yeah 100%
Haha really.,"Yes... Since I worked in a startup... So we are conversing with the regional language and the people like there were the same. So I couldn't catch u said... So,  now I remembered yes corporate people talk like this"
Probably I should use more of my corporate knowledge in the college 😆 It might help in some things.,Yes yes haha
"I'm still searching for a job. Haven't got any. I will include C as the main thing in my resume, maybe then I can probably get.","Oh OK bro. If you get like you have to work on-site,  will you accept? Or do you want a remote one"
I would probably prefer remote until both sems end.,OKayyy
"Maybe from the 3rd sem, i can go on-site if time is adjustable.",Yeah even I am planning to do the same... By completing some projects within 1st or 2nd sem
😅,We have to otherwise in 3rd sem we don't actually want to just go to college and do normal stuff
We will get it 👍🏻,Yes bro 💪
We have already started many things so it will definitely help us in the future.,Yes bro
I have arrived.,OK now you are in college or Metro Station
Where are you?,"OK bro, I will be arriving within 5 mins"
Alright,Ok
"where are we with UI? we have to incorporate with C, like exchanging user credentials and messages from the web to the c program (C as backend), If i'm right that's how it works. I'm not looking at it. I'm leaving to you.",Oh OK bro
"also, if you get any info on code competition conducting in our college, share it with me. Anything, any info would be good.",Sure bro
"no worries, take your time. But don't forget to give me updates.",Sure bro OK. From tomorrow I will be definitely work on that
"Then we will show to ma'am if she is not satisfied, then we work on adding additional features.",Sure I will try to finish my part by Monday or within Sunday eve
"I will also check on encrypt and decrypt part. I think I didn't explain about it today, ask me tomorrow.","What and all we need to have in our web page? Like the navbar displaying the operations the end user can have like login, sign up,  about and so on. Then after logging in,  we will have another page showing to send a message within a textbox and the receivers name or Id whatever"
"It would be easy if code in client-side for encryption and decrypt. it wouldn't take much time. But of course to increase the security, we can work more on it (not for project but for our personal gain, we can say that during interviews.)",Yeah yes yes. Should we have to write code for that
Good!,OK
"Work some on it, like reading, writing and appending (important for us).",Yeah OK bro
"this exchange of data's logic part where you should work. For design keep it simple, if we get time we can enhance it.",OK bro sure
That's all the update from me for today.,"Nice bro good to hear this,  from my side, I will be seriously starting from tomorrow as I need some idea we will discuss on that tomorrow. So,  I will be reporting my work from tomorrow"
"Sure. I meant no pressure, just telling you, it's going to fun.",Yeah OK bro ✌️
"If it's completed, we can work on some more projects.",Yeah yes that's right too
"Alright then, if nothing else I'm going to sleep.",Sure bro. Good night
GN,You deleted this message
I'm in chickpete,OK bro
Where are you,In college parking bro waiting for you
Okk,U?
Looks cool!,"Used HTML, CSS for this."
That's great 👍🏻 That was required in our project. It will send the current time into the c program and save it there.,Nice then
Why not?,"Sure, then"
You finish it then. Later we can look at the C code.,And I got to know that we can connect our C backend code with Java Script and make it functional.
We are on the right schedule.,with the use of CGI kinda like API.
Looks good though.,"Can u make it simpler, i didn't get that"
"I'm not sure anything about it, so asking.",I still don't have much idea about that. I just saw how to connect  a code with frontend.                                     We will work on that
Ok let's see.,No idea bro
"Our c program will take more time. So, i took this into consideration and asked. We don't want to spend more time designing that's why. <This message was edited>","Yeah yes yes, absoultely right"
The pages already look better than just a simple plain terminal display.,Yes yes .
I will probably be busy tomorrow.,Did you went to see the house?
"Oh, we did.","Ok, whenever we get free, we will look o that"
Yeah.,Rent was same or different?
Same. 17 k.,Oh nice
Not 1100 as they mentioned.,Oh ok
Given the place and price that's okay.,Nice then!
Malleswara lands sells hot here.,haha yes you said yesterday
Yeah.,Oh
And I'm not getting any work soon.,Oh Ok
"I know, I even said I would give 7k per month for 4 months from my remaining money, till then i will improve myself and find some job to pay afterwards. He didn't agree with that either. He doesn't trust me that I earn money.",Oh man!!
I'm living 😞,"It's OK bro,  time comes, nothing to worry."
Hope! That's the only thing that's saving me daily.,"Yes, yes let's work hard and get that no matter what"
"I believe in myself and succeed too. But I won't forget this time ever. The need for money, never felt like this.",Yes bring
And get a good job 👍🏻,Nothing like that
"When you said about the 12 lakh package someone had got, i wanted to cross at that moment. And I still want to too. That's why all this hard work. We both should break that 12 record.",100% bro let's put our everything into it
We can Include more technologies in it. I'm still thinking what we can do? Something big. That also must be related to us.,"Yes bro,  let's finish this as soon as possible. We will work on something big"
